ocid,notice_id,published_date,deadline,title,buyer,status,procurement_method,main_category,cpv_id,cpv_description,value_amount,value_currency,sme_suitable,vcse_suitable,categories,matched_terms,official_notice_url,summary,licence,source
ocds-b5fd17-d349e746-dec8-41a5-9ce4-fd248b08e12f,8284d2cd-3b24-48aa-a2b1-f4e8d8083901-903626,2026-06-25T12:23:57+01:00,2026-08-06T12:00:00+01:00,Two Play Park Upgrade Projects,Melksham Town Council,active,Open procedure (above threshold),goods,37535200,Playground equipment,,,True,True,accessibility_digital;sme_suitable,SME suitability flag;accessibility,https://www.contractsfinder.service.gov.uk/Notice/8284d2cd-3b24-48aa-a2b1-f4e8d8083901,"Redevelopment of two play spaces in Melksham: Dunch Lane Play Park, designed for children aged 0-4 years, and Riverside Play Park, designed for children aged 5 and over. Together, the project aims to deliver high-qualit…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-eda153f3-eb11-4a4d-8d10-762cc308af17,3baa95d2-10f5-4d9d-b612-be8e336fe70b-903601,2026-06-25T15:39:06+01:00,2026-07-09T13:00:00+01:00,South Cambridgeshire District Council - Shared Ownership Sales and Marketing Arrangements,South Cambridgeshire District Council,active,Open procedure (below threshold),services,70330000,Property management services of real estate on a fee or contract basis,,,True,False,accessibility_digital;sme_suitable,SME suitability flag;portal,https://www.contractsfinder.service.gov.uk/Notice/3baa95d2-10f5-4d9d-b612-be8e336fe70b,SCDC has a continuing new build programme that includes shared ownership and affordable rent and social rent homes. SCDC need to build out policy-compliant exception sites and purchase S106 affordable housing from devel…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-1f180c9f-9541-4217-93da-5c134991d914,25e021d3-5c3c-48c2-a357-5d8651a3d406-903579,2026-06-25T14:19:42+01:00,2026-06-30T12:00:00+01:00,5 yr maintenance service contract for slit lamps and tables,KCH Interventional Facilities Management LLP,active,Single tender action (below threshold),services,50420000,Repair and maintenance services of medical and surgical equipment,82893.47,GBP,False,False,accessibility_digital;facilities_works,maintenance;portal,https://www.contractsfinder.service.gov.uk/Notice/25e021d3-5c3c-48c2-a357-5d8651a3d406,"5 yr maintenance service contract PM cover for Haag-Streit slit lamps and tables Additional information: To express interest and participate in the tender, please register and apply via Atamis e-sourcing portal https://…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-d349e746-dec8-41a5-9ce4-fd248b08e12f,8284d2cd-3b24-48aa-a2b1-f4e8d8083901-903480,2026-06-25T12:23:57+01:00,2026-08-06T12:00:00+01:00,Two Play Park Upgrade Projects,Melksham Town Council,active,Open procedure (above threshold),goods,37535200,Playground equipment,,,False,False,accessibility_digital,accessibility,https://www.contractsfinder.service.gov.uk/Notice/8284d2cd-3b24-48aa-a2b1-f4e8d8083901,"Redevelopment of two play spaces in Melksham: Dunch Lane Play Park, designed for children aged 0-4 years, and Riverside Play Park, designed for children aged 5 and over. Together, the project aims to deliver high-qualit…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-ba89eae1-e794-4ad9-bf1a-5b43f6ca0c13,ccd498b2-9085-4f09-a332-f80178b41f39-903447,2026-06-24T23:06:26+01:00,2026-07-27T12:00:00+01:00,Provision of Allograft Products,Queen Victoria Hospital NHS Foundation Trust,active,Open procedure (above threshold),goods,85146200,Services provided by transplant organ banks,600000,GBP,False,False,accessibility_digital,portal,https://www.contractsfinder.service.gov.uk/Notice/ccd498b2-9085-4f09-a332-f80178b41f39,"Provision of Allograft Products to Queen Victoria Hospital NHS Foundation Trust Additional information: To express interest and participate in the tender, please register and apply via Atamis e-sourcing portal https://h…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-e8035b68-b32f-4dee-9402-5f84f6b537f0,eec4f6d7-6ca4-4b08-a014-db69a7906db0-903083,2026-06-22T17:50:04+01:00,2026-07-06T17:30:00+01:00,GB-London: IT Managed Services - Stage 1 Assessment,The Careers and Enterprise Company,active,Open procedure,services,72590000,Computer-related professional services,1000000,GBP,True,False,accessibility_digital;sme_suitable,SME suitability flag;software,https://www.contractsfinder.service.gov.uk/Notice/eec4f6d7-6ca4-4b08-a014-db69a7906db0,"Initial assessment of suppliers' suitability and capability to deliver IT Managed Services, prior to invitation to the next stage of the procurement process. Additional information: The contracting authority considers t…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-58cd996e-70c7-43cc-b17d-0b7f8791f61c,fc6ea185-d03b-419b-b4c9-f47c10025de3-903049,2026-06-22T15:03:15+01:00,2026-07-13T12:00:00+01:00,ATEX Remedials,KBS Maritime Ltd,active,Restricted procedure,works,45310000,Electrical installation work,200000,GBP,True,False,accessibility_digital;facilities_works;sme_suitable,SME suitability flag;maintenance;portal,https://www.contractsfinder.service.gov.uk/Notice/fc6ea185-d03b-419b-b4c9-f47c10025de3,"Following detailed ATEX inspections, remedial actions are required associated with the DSEAR areas within Portsmouth Naval Base. Actions will need to be undertaken to achieve compliance with the DSEAR regulations and AT…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-72901a3f-4ef8-4bfd-9350-cf49406477d4,48efe08b-58e2-41a3-ab4e-10fff0d58c43-903019,2026-06-22T13:41:48+01:00,2026-07-27T15:00:00+01:00,UKRI-6097 MRC HQ Fellowships Evaluation Services,UK Research and Innovation,active,Call-off from a dynamic purchasing system,services,79311410,Economic impact assessment,90000,GBP,True,True,accessibility_digital;sme_suitable,SME suitability flag;portal,https://www.contractsfinder.service.gov.uk/Notice/48efe08b-58e2-41a3-ab4e-10fff0d58c43,"UKRI-MRC, are seeking a supplier to carry out an external evaluation to provide an independent and expert assessment of the RoI/SRoI of investment Fellowships. The evaluation findings will be used by MRC to demonstrate…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-72901a3f-4ef8-4bfd-9350-cf49406477d4,14b18b36-a819-4887-aaa9-1236df1670d9-903018,2026-06-22T13:41:48+01:00,2026-07-27T15:00:00+01:00,UKRI-6097 MRC HQ Fellowships Evaluation Services,UK Research and Innovation,active,Call-off from a dynamic purchasing system,services,79311410,Economic impact assessment,90000,GBP,True,True,accessibility_digital;sme_suitable,SME suitability flag;portal,https://www.contractsfinder.service.gov.uk/Notice/14b18b36-a819-4887-aaa9-1236df1670d9,"UKRI-MRC, are seeking a supplier to carry out an external evaluation to provide an independent and expert assessment of the RoI/SRoI of investment Fellowships. The evaluation findings will be used by MRC to demonstrate…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-59bd3fc2-19cc-4af3-a914-4885c8da07c3,c468ff00-848d-471b-ae83-6bf211ade3b6-902912,2026-06-20T17:19:11+01:00,2026-07-29T13:00:00+01:00,"Leys Park Changing Pavilion Dagenham, Refurbishment",London Borough of Barking and Dagenham,active,Open procedure (below threshold),works,45212100,Construction work of leisure facilities,,,True,True,accessibility_digital;facilities_works;sme_suitable,SME suitability flag;portal;refurbishment,https://www.contractsfinder.service.gov.uk/Notice/c468ff00-848d-471b-ae83-6bf211ade3b6,The London Borough of Barking and Dagenham are pleased to invite you to tender for the conversion of current changing rooms into a new gym through an open tender process. The procurement strategy being adopted for this…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-59bd3fc2-19cc-4af3-a914-4885c8da07c3,c468ff00-848d-471b-ae83-6bf211ade3b6-902911,2026-06-20T17:19:11+01:00,2023-07-29T13:00:00+01:00,"Leys Park Changing Pavilion Dagenham, Refurbishment",London Borough of Barking and Dagenham,active,Open procedure (below threshold),works,45212100,Construction work of leisure facilities,,,True,True,accessibility_digital;facilities_works;sme_suitable,SME suitability flag;portal;refurbishment,https://www.contractsfinder.service.gov.uk/Notice/c468ff00-848d-471b-ae83-6bf211ade3b6,The London Borough of Barking and Dagenham are pleased to invite you to tender for the conversion of current changing rooms into a new gym through an open tender process. The procurement strategy being adopted for this…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-a3d78ea8-ed3f-45e4-b64d-55edb7eefd25,9ec3128b-0bd4-42d7-b486-e180adf2459f-902800,2026-06-19T10:11:12+01:00,,"Digital, Data and Technology Apprenticeship Training Provision",Ministry of Justice,planned,,,80000000,Education and training services,33655000,GBP,True,True,accessibility_digital;sme_suitable,SME suitability flag;accessibility,,"The Ministry of Justice intends to procure apprenticeship training services covering digital, data and technology standards via Crown Commercial Service Dynamic Purchasing System RM6102. Estimated total value: £33,655,0…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
